"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\ProfileViewModel.cs", "C#", 0, 49, 0, 0, 5, 54
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\SideMenuViewModel.cs", "C#", 0, 49, 0, 0, 9, 58
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\OnlineBattle\TeamSelectViewModel.cs", "C#", 0, 53, 0, 0, 9, 62
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\SignUp\GameModeChooserViewModel .cs", "C#", 0, 143, 0, 4, 31, 178
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\SignUp\LogInViewModel.cs", "C#", 0, 69, 0, 1, 12, 82
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\ViewModelPage\SignUp\SignUpViewModel .cs", "C#", 0, 102, 0, 2, 23, 127
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.ViewModels\WildPokemonBattleViewModel.cs", "C#", 0, 14, 0, 169, 10, 193
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Config\NatureHelper.cs", "C#", 0, 40, 0, 0, 8, 48
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Config\PokemonConstants.cs", "C#", 0, 19, 0, 1, 5, 25
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Config\TypeEffectivenessChartConstants.cs", "C#", 0, 15, 0, 0, 2, 17
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Config\TypeEffectivenessChartHelper.cs", "C#", 0, 125, 0, 13, 19, 157
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Map\RouteMapData.cs", "C#", 0, 23, 0, 0, 0, 23
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Map\TownMapData.cs", "C#", 0, 14, 0, 0, 0, 14
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Map\Worldata.cs", "C#", 0, 18, 0, 0, 2, 20
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Move\MoveData.cs", "C#", 0, 19, 0, 0, 1, 20
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\AbilityData.cs", "C#", 0, 11, 0, 0, 1, 12
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\BaseStatsData.cs", "C#", 0, 29, 0, 0, 1, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\EggMoveData.cs", "C#", 0, 12, 0, 0, 2, 14
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\EvolutionData.cs", "C#", 0, 16, 0, 0, 2, 18
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\LevelUpMoveData.cs", "C#", 0, 10, 0, 0, 3, 13
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\PokemonData.cs", "C#", 0, 8, 0, 0, 0, 8
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Domain\Pokemon\PokemonFormData.cs", "C#", 0, 9, 0, 0, 0, 9
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\BotLevel.cs", "C#", 0, 11, 0, 0, 2, 13
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\Direction.cs", "C#", 0, 10, 0, 0, 1, 11
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\MovesEnum\MoveEffectType.cs", "C#", 0, 175, 0, 0, 2, 177
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Enums\MovesEnum\MoveFlagType.cs", "C#", 0, 41, 0, 11, 2, 54
